uid,created,src_id,src_name,high_prcn_lat,high_prcn_lon,post_code,src_end_date,elevation,met_domain_name,N Rows
184153,2014-01-10 15:28:54,542,COTON-IN-THE-ELMS,52.737,-1.64,DE12 8,3999-12-31 00:00:00,85,CARLOS,744
203468,2014-01-10 15:28:54,554,SUTTON BONINGTON,52.836,-1.25,LE12 5,3999-12-31 00:00:00,43,WADRAIN,744
201221,2014-01-10 15:28:54,556,NOTTINGHAM: WATNALL,53.005,-1.25,NG16 1,3999-12-31 00:00:00,117,HWND6910,744
201180,2014-01-10 15:28:54,593,ELMDON,52.452,-1.741,B26 3,3999-12-31 00:00:00,96,HWND6910,742
184195,2014-01-10 15:28:54,595,CHURCH LAWFORD,52.358,-1.33,CV23 9,3999-12-31 00:00:00,107,CARLOS,744
203996,2014-01-10 15:28:54,596,WELLESBOURNE,52.206,-1.603,CV35 9,3999-12-31 00:00:00,47,WADRAIN,744
203752,2014-01-10 15:28:54,622,KEELE,52.999,-2.269,ST5 5,3999-12-31 00:00:00,179,WAMRAIN,744
185179,2014-01-10 15:28:54,651,NEWPORT (SALOP),52.779,-2.428,TF10 8,3999-12-31 00:00:00,66,CARLOS,744
201226,2014-01-10 15:28:54,657,PERSHORE,52.148,-2.04,WR10 2,3999-12-31 00:00:00,35,HWND6910,745
204292,2014-01-10 15:28:54,658,PERSHORE COLLEGE,52.1,-2.059,WR10 3,3999-12-31 00:00:00,37,AWSHRLY,744
184250,2014-01-10 15:28:54,660,ASTWOOD BANK,52.248,-1.934,B96 6,3999-12-31 00:00:00,137,CARLOS,744
196220,2014-01-10 15:28:54,18915,COSFORD,52.683,-2.277,TF11 8,3999-12-31 00:00:00,0,CARLOS,180
196224,2014-01-10 15:28:54,18919,EAST MIDLANDS,52.883,-1.278,NG10 3,3999-12-31 00:00:00,94,CARLOS,714
203800,2014-01-10 15:28:54,19187,COLESHILL,52.48,-1.689,B46 3,3999-12-31 00:00:00,96,SYNOP,746
201881,2014-01-10 15:28:54,24102,COVENTRY: COUNDON,52.424,-1.535,CV1,3999-12-31 00:00:00,119,WADRAIN,744
200324,2014-01-10 15:28:54,30529,MARKET BOSWORTH: BOSWORTH PARK,52.623,-1.394,CV13 0,3999-12-31 00:00:00,129,CARLOS,744
