uid,ob_time,id,id_type,met_domain_name,version_num,src_id,rec_st_ind,wind_speed_unit_id,src_opr_type,wind_direction,wind_speed,prst_wx_id,past_wx_id_1,past_wx_id_2,cld_ttl_amt_id,low_cld_type_id,med_cld_type_id,hi_cld_type_id,cld_base_amt_id,cld_base_ht,visibility,msl_pressure,cld_amt_id_1,cloud_type_id_1,cld_base_ht_id_1,cld_amt_id_2,cloud_type_id_2,cld_base_ht_id_2,cld_amt_id_3,cloud_type_id_3,cld_base_ht_id_3,cld_amt_id_4,cloud_type_id_4,cld_base_ht_id_4,vert_vsby,air_temperature,dewpoint,wetb_temp,stn_pres,alt_pres,ground_state_id,q10mnt_mxgst_spd,cavok_flag,cs_hr_sun_dur,wmo_hr_sun_dur,wind_direction_q,wind_speed_q,prst_wx_id_q,past_wx_id_1_q,past_wx_id_2_q,cld_ttl_amt_id_q,low_cld_type_id_q,med_cld_type_id_q,hi_cld_type_id_q,cld_base_amt_id_q,cld_base_ht_q,visibility_q,msl_pressure_q,air_temperature_q,dewpoint_q,wetb_temp_q,ground_state_id_q,cld_amt_id_1_q,cloud_type_id_1_q,cld_base_ht_id_1_q,cld_amt_id_2_q,cloud_type_id_2_q,cld_base_ht_id_2_q,cld_amt_id_3_q,cloud_type_id_3_q,cld_base_ht_id_3_q,cld_amt_id_4_q,cloud_type_id_4_q,cld_base_ht_id_4_q,vert_vsby_q,stn_pres_q,alt_pres_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,meto_stmp_time,midas_stmp_etime,wind_direction_j,wind_speed_j,prst_wx_id_j,past_wx_id_1_j,past_wx_id_2_j,cld_amt_id_j,cld_ht_j,visibility_j,msl_pressure_j,air_temperature_j,dewpoint_j,wetb_temp_j,vert_vsby_j,stn_pres_j,alt_pres_j,q10mnt_mxgst_spd_j,rltv_hum,rltv_hum_j,snow_depth,snow_depth_q,drv_hr_sun_dur,drv_hr_sun_dur_q
201221,2018-10-01 00:00:00,03354,WMO,HWND6910,1,556,1011,4,5,290,5,,0,,0,,,,,250,3000,1022.6,,,0,,,0,,,0,,,0,0,7,3.9,5.7,1008.1,0,0,0,,0,0,1,1,,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,2018-09-30 23:51:00,0,,,,,,,,,,,,K,,,,,80.8,A,0,,0,1
201226,2018-10-01 00:00:00,03529,WMO,HWND6910,1,657,1011,4,5,280,4,,0,,6,,,,,60,2700,1024.1,4,,84,3,,132,,,0,,,0,0,7.3,4.8,6.2,1019.7,0,0,0,,0,0,1,1,,,,1,,,,,1,1,1,101,101,101,,1,,1,1,,1,,,,,,,,1,,,,,2018-09-30 23:53:00,0,,,,,,,,,,,,K,,,,,83.9,A,0,,0,
203800,2018-10-01 00:00:00,03535,WMO,SYNOP,1,19187,1011,4,5,300,8,,0,,0,,,,,250,2300,1023,,,0,,,0,,,0,,,0,0,8.1,5.8,7.1,1011.1,0,0,0,,0,0,1,1,,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,2018-09-30 23:51:00,0,,,,,,,,,,,,K,,,,,85.8,A,0,,0,1
184195,2018-10-01 00:00:00,03544,WMO,CARLOS,1,595,1011,4,5,310,7,,0,,2,,,,,30,3000,1022.8,1,,57,,,0,,,0,,,0,0,7.6,5.7,6.7,1009.6,0,0,0,,0,0,1,1,,,,1,,,,,1,1,1,1,1,1,,1,,1,,,,,,,,,,,1,,,,,2018-09-30 23:53:00,0,,,,,,,,,,,,K,,,,,87,A,0,,0,1
184153,2018-10-01 00:00:00,4130,DCNN,CARLOS,1,542,1011,4,6,0,0,,0,,,,,,,0,0,0,,,0,,,0,,,0,,,0,0,7.1,5.6,6.4,0,0,0,0,,0,0,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2018-10-01 00:00:00,0,,,,,,,,,,,,K,,,,,89.8,A,0,,0,
203468,2018-10-01 00:00:00,4202,DCNN,WADRAIN,1,554,1011,4,6,300,6,,0,,,,,,,0,0,0,,,0,,,0,,,0,,,0,0,7.1,5.1,6.2,0,0,0,0,,0,0,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2018-10-01 00:06:00,0,,,,,,,,,,,,K,,,,,86.8,A,0,,0,1
200324,2018-10-01 00:00:00,4303,DCNN,CARLOS,1,30529,1011,4,6,0,0,,0,,,,,,,0,0,0,,,0,,,0,,,0,,,0,0,6,5.1,5.6,0,0,0,0,,0,0,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2018-09-30 23:58:00,0,,,,,,,,,,,,K,,,,,93.9,A,0,,0,
203996,2018-10-01 00:00:00,4453,DCNN,WADRAIN,1,596,1011,4,6,0,0,,0,,,,,,,0,0,0,,,0,,,0,,,0,,,0,0,7.7,5.2,6.6,0,0,0,0,,0,0,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2018-09-30 23:59:00,0,,,,,,,,,,,,K,,,,,84.4,A,0,,0,
201881,2018-10-01 00:00:00,4458,DCNN,WADRAIN,1,24102,1011,4,6,320,7,,0,,,,,,,0,0,0,,,0,,,0,,,0,,,0,0,7.7,5.6,6.8,0,0,0,0,,0,0,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2018-10-01 00:03:00,0,,,,,,,,,,,,K,,,,,87.2,A,0,,0,1
203752,2018-10-01 00:00:00,4617,DCNN,WAMRAIN,1,622,1011,4,6,0,0,,0,,,,,,,0,0,0,,,0,,,0,,,0,,,0,0,7.4,6.2,6.9,0,0,0,0,,0,0,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2018-10-01 00:00:00,0,,,,,,,,,,,,K,,,,,92.7,A,0,,0,
